PointID,DirectionID,IntersectionX,IntersectionY,IntersectionZ,Parameter
4,232,153.37,184.33,1.29,28.59
4,242,161.38,188.27,1.21,20.74
4,252,166.04,190.55,1.17,16.68
4,262,169.26,192.13,1.14,14.32
4,272,171.75,193.35,1.13,12.88
4,282,173.84,194.37,1.12,12.04
4,292,175.73,195.30,1.12,11.63
4,302,177.55,196.19,1.12,11.59
4,312,179.41,197.10,1.12,11.92
4,322,181.44,198.10,1.13,12.65
4,332,183.82,199.26,1.14,13.94
4,342,186.83,200.74,1.16,16.05
4,352,195.51,202.04,1.24,24.13
4,3,202.29,206.23,1.46,30.55
4,13,219.29,214.61,1.72,48.27
4,23,272.40,242.87,2.61,107.12
4,33,343.09,305.16,3.97,197.87
4,43,256.39,277.26,2.66,110.51
4,53,249.96,299.44,2.83,121.69
4,63,245.47,333.91,3.21,147.45
4,73,230.19,366.79,3.56,170.88
4,123,101.69,327.58,3.10,140.13
4,133,90.16,303.46,2.90,126.94
4,143,105.84,261.53,2.29,86.05
4,153,115.96,238.44,1.97,64.43
4,163,122.16,224.28,1.79,52.78
4,173,126.58,214.20,1.69,45.87
4,183,120.19,206.23,1.77,51.57
4,193,89.66,191.76,2.25,83.36
4,223,134.69,175.13,1.73,48.38
4,233,153.37,184.33,1.43,28.59
4,243,161.38,188.27,1.31,20.75
4,253,166.04,190.55,1.25,16.69
4,263,169.26,192.13,1.21,14.32
4,273,171.75,193.35,1.19,12.88
4,283,173.84,194.37,1.18,12.04
4,293,175.73,195.30,1.17,11.63
4,303,177.55,196.19,1.17,11.60
4,313,179.41,197.10,1.18,11.92
4,323,181.44,198.10,1.19,12.65
4,333,183.82,199.26,1.21,13.94
4,343,186.83,200.74,1.24,16.05
4,353,195.51,202.04,1.36,24.13
4,4,202.29,206.23,1.61,30.55
4,14,219.29,214.61,1.97,48.28
4,24,272.40,242.87,3.14,107.13
4,34,343.09,305.16,4.96,197.89
4,44,256.39,277.26,3.21,110.52
4,54,249.96,299.44,3.43,121.70
4,64,245.47,333.91,3.95,147.46
4,74,230.19,366.79,4.42,170.90
4,124,101.69,327.58,3.80,140.15
4,134,90.16,303.46,3.54,126.95
4,144,105.84,261.53,2.72,86.05
4,154,115.96,238.44,2.29,64.44
4,164,122.16,224.28,2.06,52.78
4,174,126.58,214.20,1.92,45.88
4,184,120.19,206.23,2.03,51.57
4,194,89.66,191.76,2.67,83.37
4,224,134.69,175.13,1.97,48.39
4,234,153.37,184.33,1.57,28.60
4,244,161.38,188.27,1.41,20.75
4,254,166.04,190.55,1.33,16.69
4,264,169.26,192.13,1.29,14.32
4,274,171.75,193.35,1.26,12.88
4,284,173.84,194.37,1.24,12.04
4,294,175.73,195.30,1.23,11.64
4,304,177.55,196.19,1.23,11.60
4,314,179.41,197.10,1.24,11.92
4,324,181.44,198.10,1.25,12.65
4,334,183.82,199.26,1.28,13.94
4,344,186.83,200.74,1.32,16.06
4,354,195.51,202.04,1.48,24.13
4,5,202.29,206.23,1.76,30.55
4,15,219.29,214.61,2.21,48.28
4,25,272.40,242.87,3.68,107.14
4,35,343.09,305.16,5.95,197.91
4,45,256.39,277.26,3.76,110.53
4,55,249.96,299.44,4.04,121.71
4,65,245.47,333.91,4.69,147.48
4,75,230.19,366.79,5.27,170.92
4,125,101.69,327.58,4.50,140.16
4,135,90.16,303.46,4.17,126.97
4,145,105.84,261.53,3.15,86.06
4,155,115.96,238.44,2.61,64.44
4,165,122.16,224.28,2.32,52.79
4,175,126.58,214.20,2.15,45.88
4,185,120.19,206.23,2.29,51.58
4,195,89.66,191.76,3.08,83.38
4,225,134.69,175.13,2.21,48.39
4,235,153.37,184.33,1.71,28.60
4,245,161.38,188.27,1.52,20.75
4,255,166.04,190.55,1.42,16.69
4,265,169.26,192.13,1.36,14.32
4,275,171.75,193.35,1.32,12.89
4,285,173.84,194.37,1.30,12.04
4,295,175.73,195.30,1.29,11.64
4,305,177.55,196.19,1.29,11.60
4,315,179.41,197.10,1.30,11.92
4,325,181.44,198.10,1.32,12.66
4,335,183.82,199.26,1.35,13.94
4,345,186.83,200.74,1.40,16.06
4,355,195.51,202.04,1.60,24.14
5,1,271.79,226.60,1.29,58.43
5,11,269.59,236.52,1.29,57.10
5,21,308.30,261.16,1.51,101.03
5,31,384.75,325.56,1.99,197.91
5,41,265.04,269.97,1.34,67.47
5,51,256.26,277.73,1.33,66.74
5,61,251.79,293.16,1.38,76.85
5,71,245.48,314.85,1.47,93.91
5,81,235.10,349.88,1.63,125.17
5,91,213.36,424.78,1.99,198.18
5,141,104.71,317.77,1.71,141.84
5,151,83.69,301.47,1.75,149.73
5,161,103.65,266.54,1.58,116.75
5,171,113.42,244.23,1.51,101.48
5,181,121.14,226.60,1.46,92.22
5,191,127.76,211.51,1.43,86.93
5,221,176.51,195.68,1.24,48.11
5,231,190.31,199.14,1.18,35.86
5,241,201.32,205.75,1.12,24.08
5,251,206.74,208.43,1.10,19.34
5,261,210.48,210.27,1.08,16.59
5,271,213.36,211.69,1.07,14.91
5,281,215.78,212.88,1.07,13.93
5,291,217.96,213.96,1.07,13.46
5,301,220.06,215.00,1.07,13.40
5,311,222.21,216.06,1.07,13.77
5,321,224.55,217.21,1.07,14.61
5,331,227.29,218.56,1.08,16.09
5,341,230.76,220.27,1.09,18.51
5,351,235.63,222.68,1.11,22.62
5,2,271.79,226.60,1.58,58.44
5,12,269.59,236.52,1.57,57.10
5,22,308.30,261.16,2.01,101.03
5,32,384.75,325.56,2.98,197.91
5,42,265.04,269.97,1.67,67.47
5,52,256.26,277.73,1.67,66.74
5,62,251.79,293.16,1.77,76.86
5,72,245.48,314.85,1.94,93.91
5,82,235.10,349.88,2.25,125.18
5,92,213.36,424.78,2.98,198.19
5,142,104.71,317.77,2.42,141.84
5,152,83.69,301.47,2.50,149.74
5,162,103.65,266.54,2.17,116.76
5,172,113.42,244.23,2.01,101.48
5,182,121.14,226.60,1.92,92.22
5,192,127.76,211.51,1.87,86.93
5,222,176.51,195.68,1.48,48.11
5,232,190.31,199.14,1.36,35.86
5,242,201.32,205.75,1.24,24.08
5,252,206.74,208.43,1.19,19.35
5,262,210.48,210.27,1.17,16.59
5,272,213.36,211.69,1.15,14.91
5,282,215.78,212.88,1.14,13.93
5,292,217.96,213.96,1.13,13.46
5,302,220.06,215.00,1.13,13.40
5,312,222.21,216.06,1.14,13.77
5,322,224.55,217.21,1.15,14.61
5,332,227.29,218.56,1.16,16.09
5,342,230.76,220.27,1.19,18.52
5,352,235.63,222.68,1.23,22.62
5,3,271.79,226.60,1.88,58.44
5,13,269.59,236.52,1.86,57.11
5,23,308.30,261.16,2.52,101.04
5,33,384.75,325.56,3.97,197.93
5,43,265.04,269.97,2.01,67.47
5,53,256.26,277.73,2.00,66.75
5,63,251.79,293.16,2.15,76.86
