484.34, 345.09, 1.00
611.60, 369.22, 1.00
646.28, 420.77, 1.00
582.48, 434.54, 1.00
605.62, 489.56, 1.00
593.41, 522.99, 1.00
520.08, 411.65, 1.00
514.51, 425.24, 1.00
504.63, 460.52, 1.00
499.37, 383.67, 1.00
498.01, 380.70, 1.00
495.87, 379.66, 1.00
493.55, 378.52, 1.00
490.83, 377.19, 1.00
487.37, 375.50, 1.00
480.59, 373.46, 1.00
470.03, 369.22, 1.00
450.33, 359.64, 1.00
384.96, 325.66, 1.00
404.51, 311.41, 1.00
463.24, 334.49, 1.00
484.42, 345.13, 1.00
492.16, 347.60, 1.00
496.52, 346.91, 1.00
500.34, 344.84, 1.00
504.63, 338.65, 1.00
521.10, 275.84, 1.00
588.79, 268.92, 1.00
600.30, 288.94, 1.00
604.03, 311.83, 1.00
636.34, 321.28, 1.00
620.97, 348.70, 1.00
669.67, 389.59, 1.00
654.62, 408.70, 1.00
702.69, 479.92, 1.00
605.57, 439.37, 1.00
583.02, 433.41, 1.00
604.26, 490.08, 1.00
594.04, 520.91, 1.00
520.09, 537.91, 1.00
518.24, 466.54, 1.00
524.18, 427.82, 1.00
526.33, 413.32, 1.00
519.98, 411.63, 1.00
492.15, 420.82, 1.00
483.72, 412.35, 1.00
498.41, 398.03, 1.00
500.80, 389.59, 1.00
498.20, 381.12, 1.00
416.93, 342.52, 1.00
413.70, 313.06, 1.00
495.69, 347.17, 1.00
504.29, 339.59, 1.00
507.99, 323.33, 1.00
511.41, 293.89, 1.00
525.64, 272.73, 1.00
603.96, 289.63, 1.00
610.04, 313.56, 1.00
632.07, 317.58, 1.00
621.98, 345.87, 1.00
615.63, 364.34, 1.00
615.07, 377.46, 1.00
651.02, 409.96, 1.00
646.48, 420.30, 1.00
760.07, 472.64, 1.00
742.30, 499.13, 1.00
681.06, 488.18, 1.00
612.47, 439.30, 1.00
604.55, 438.88, 1.00
597.08, 435.29, 1.00
591.88, 432.80, 1.00
587.86, 430.87, 1.00
584.13, 431.10, 1.00
514.59, 536.87, 1.00
519.14, 491.86, 1.00
519.82, 467.05, 1.00
519.58, 449.38, 1.00
523.86, 433.26, 1.00
525.01, 421.04, 1.00
495.17, 409.96, 1.00
499.44, 394.37, 1.00
456.98, 362.33, 1.00
421.26, 313.78, 1.00
504.21, 339.78, 1.00
484.80, 287.15, 1.00
518.11, 289.15, 1.00
528.98, 248.19, 1.00
587.86, 268.74, 1.00
605.10, 312.14, 1.00
637.89, 272.51, 1.00
611.97, 368.20, 1.00
615.12, 377.47, 1.00
623.50, 380.05, 1.00
634.05, 383.30, 1.00
656.67, 384.92, 1.00
677.44, 394.17, 1.00
662.51, 430.34, 1.00
770.63, 481.72, 1.00
787.51, 521.58, 1.00
693.60, 484.15, 1.00
675.92, 485.70, 1.00
655.17, 474.85, 1.00
644.03, 470.34, 1.00
635.82, 466.39, 1.00
629.47, 463.33, 1.00
624.10, 460.75, 1.00
619.25, 458.41, 1.00
613.83, 457.42, 1.00
621.17, 440.23, 1.00
618.94, 439.17, 1.00
616.33, 437.92, 1.00
605.17, 439.18, 1.00
598.23, 435.85, 1.00
586.75, 430.34, 1.00
485.98, 405.04, 1.00
499.00, 382.85, 1.00
468.06, 337.15, 1.00
507.07, 327.63, 1.00
515.81, 294.88, 1.00
609.61, 375.78, 1.00
620.43, 379.11, 1.00
629.47, 381.89, 1.00
637.57, 384.38, 1.00
647.56, 380.61, 1.00
655.90, 384.55, 1.00
664.59, 388.47, 1.00
649.43, 413.58, 1.00
646.36, 420.59, 1.00
648.17, 423.53, 1.00
653.56, 426.09, 1.00
808.87, 500.86, 1.00
819.02, 536.13, 1.00
710.26, 483.59, 1.00
695.63, 479.97, 1.00
694.35, 491.01, 1.00
687.49, 495.81, 1.00
677.37, 486.40, 1.00
671.08, 483.37, 1.00
665.77, 480.81, 1.00
660.96, 478.50, 1.00
656.78, 475.48, 1.00
651.56, 473.97, 1.00
647.02, 470.90, 1.00
640.24, 468.52, 1.00
632.46, 464.77, 1.00
621.44, 459.46, 1.00
617.02, 450.71, 1.00
621.20, 441.91, 1.00
501.02, 388.81, 1.00
648.33, 423.60, 1.00
658.11, 428.25, 1.00
663.90, 431.00, 1.00
667.94, 432.92, 1.00
671.08, 434.41, 1.00
673.73, 435.67, 1.00
681.36, 422.45, 1.00
711.97, 379.89, 1.00
760.82, 471.08, 1.00
770.81, 481.33, 1.00
886.03, 534.18, 1.00
879.67, 567.49, 1.00
751.34, 503.52, 1.00
732.05, 494.16, 1.00
