观测点id: 2, 交点id: 131, 射线角度：290, 最近交点坐标: (92.56, 154.40, 1.12)
观测点id: 2, 交点id: 132, 射线角度：300, 最近交点坐标: (94.40, 155.31, 1.12)
观测点id: 2, 交点id: 133, 射线角度：310, 最近交点坐标: (96.29, 156.24, 1.12)
观测点id: 2, 交点id: 134, 射线角度：320, 最近交点坐标: (98.34, 157.25, 1.13)
观测点id: 2, 交点id: 135, 射线角度：330, 最近交点坐标: (100.75, 158.43, 1.14)
观测点id: 2, 交点id: 136, 射线角度：340, 最近交点坐标: (103.79, 159.93, 1.16)
观测点id: 2, 交点id: 137, 射线角度：350, 最近交点坐标: (108.08, 162.04, 1.20)
观测点id: 2, 交点id: 138, 射线角度：0, 最近交点坐标: (128.51, 165.48, 1.60)
观测点id: 2, 交点id: 139, 射线角度：10, 最近交点坐标: (129.91, 172.78, 1.63)
观测点id: 2, 交点id: 140, 射线角度：20, 最近交点坐标: (207.40, 208.75, 2.90)
观测点id: 2, 交点id: 141, 射线角度：50, 最近交点坐标: (124.39, 208.22, 1.84)
观测点id: 2, 交点id: 142, 射线角度：60, 最近交点坐标: (114.24, 210.01, 1.77)
观测点id: 2, 交点id: 143, 射线角度：70, 最近交点坐标: (99.94, 196.83, 1.50)
观测点id: 2, 交点id: 144, 射线角度：80, 最近交点坐标: (93.49, 193.65, 1.43)
观测点id: 2, 交点id: 145, 射线角度：90, 最近交点坐标: (88.53, 191.20, 1.39)
观测点id: 2, 交点id: 146, 射线角度：100, 最近交点坐标: (84.36, 189.14, 1.36)
观测点id: 2, 交点id: 147, 射线角度：110, 最近交点坐标: (79.91, 189.16, 1.38)
观测点id: 2, 交点id: 148, 射线角度：120, 最近交点坐标: (72.88, 192.60, 1.47)
观测点id: 2, 交点id: 149, 射线角度：130, 最近交点坐标: (67.81, 190.17, 1.48)
观测点id: 2, 交点id: 150, 射线角度：140, 最近交点坐标: (63.95, 186.11, 1.48)
观测点id: 2, 交点id: 151, 射线角度：150, 最近交点坐标: (57.85, 183.20, 1.53)
观测点id: 2, 交点id: 152, 射线角度：240, 最近交点坐标: (77.99, 147.23, 1.32)
