观测点id: 3, 射线角度：270, 最近交点坐标: (130.14, 172.89, 1.26)
观测点id: 3, 射线角度：280, 最近交点坐标: (132.24, 173.93, 1.24)
观测点id: 3, 射线角度：290, 最近交点坐标: (134.14, 174.86, 1.23)
观测点id: 3, 射线角度：300, 最近交点坐标: (135.97, 175.76, 1.23)
观测点id: 3, 射线角度：310, 最近交点坐标: (137.84, 176.68, 1.24)
观测点id: 3, 射线角度：320, 最近交点坐标: (139.88, 177.69, 1.25)
观测点id: 3, 射线角度：330, 最近交点坐标: (142.26, 178.86, 1.28)
观测点id: 3, 射线角度：340, 最近交点坐标: (145.28, 180.35, 1.32)
观测点id: 3, 射线角度：350, 最近交点坐标: (149.53, 182.44, 1.39)
观测点id: 3, 射线角度：0, 最近交点坐标: (156.48, 185.86, 1.66)
观测点id: 3, 射线角度：10, 最近交点坐标: (171.26, 193.11, 2.04)
观测点id: 3, 射线角度：20, 最近交点坐标: (269.64, 236.63, 4.71)
观测点id: 3, 射线角度：30, 最近交点坐标: (300.38, 284.15, 5.91)
观测点id: 3, 射线角度：40, 最近交点坐标: (253.01, 288.96, 5.01)
观测点id: 3, 射线角度：50, 最近交点坐标: (243.65, 321.14, 5.41)
观测点id: 3, 射线角度：100, 最近交点坐标: (126.22, 208.10, 1.56)
观测点id: 3, 射线角度：110, 最近交点坐标: (122.21, 207.65, 1.58)
观测点id: 3, 射线角度：120, 最近交点坐标: (119.10, 204.98, 1.55)
观测点id: 3, 射线角度：130, 最近交点坐标: (79.75, 245.91, 2.96)
